A1X2XZ.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,1368.460000,,09:20:14.460,,,,,,,
A2GYHQ.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,1676.450000,,09:20:14.460,,,,,,,
A1EX2V.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,65222.850000,,09:20:14.460,,,,,,,
A1EX2W.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,77881.920000,,09:20:14.460,,,,,,,
A0Z3JB.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,254.340000,,09:20:14.460,,,,,,,
A0Z3LM.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,65222.850000,,09:20:14.460,,,,,,,
A161DQ.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,1312.650000,,09:20:14.460,,,,,,,
A0Z3JD.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,646.530000,,09:20:14.460,,,,,,,
A0Z3JF.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,3150.810000,,09:20:14.460,,,,,,,
A2GYHN.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,3184.120000,,09:20:14.460,,,,,,,
A161DY.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,1564.900000,,09:20:14.460,,,,,,,
A3CK34.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,879.540000,,09:20:14.460,,,,,,,
A0Z3JH.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,348853.760000,,09:20:14.460,,,,,,,
A1EXY6.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,627720.360000,,09:20:14.460,,,,,,,
A161DT.ETR,I,08-11-2021,09:20:14.000,,,,,,,,,,,,,,,,,,3027.960000,,09:20:14.460,,,,,,,
